sample_role,scenario,probability,loss_kwh
training,0,0.0078125,0.0
training,1,0.0078125,0.0
training,2,0.0078125,0.0
training,3,0.0078125,0.0
training,4,0.0078125,0.0
training,5,0.0078125,0.0
training,6,0.0078125,0.0
training,7,0.0078125,0.0
training,8,0.0078125,0.0
training,9,0.0078125,0.0
training,10,0.0078125,0.0
training,11,0.0078125,0.0
training,12,0.0078125,0.0
training,13,0.0078125,0.0
training,14,0.0078125,0.0
training,15,0.0078125,0.0
training,16,0.0078125,0.0
training,17,0.0078125,0.0
training,18,0.0078125,0.0
training,19,0.0078125,0.0
training,20,0.0078125,0.0
training,21,0.0078125,0.0
training,22,0.0078125,0.0
training,23,0.0078125,0.0
training,24,0.0078125,0.0
training,25,0.0078125,0.0
training,26,0.0078125,0.0
training,27,0.0078125,0.0
training,28,0.0078125,0.0
training,29,0.0078125,0.0
training,30,0.0078125,0.0
training,31,0.0078125,0.0
training,32,0.0078125,0.0
training,33,0.0078125,0.0
training,34,0.0078125,0.0
training,35,0.0078125,0.0
training,36,0.0078125,0.0
training,37,0.0078125,0.0
training,38,0.0078125,0.0
training,39,0.0078125,0.0
training,40,0.0078125,0.0
training,41,0.0078125,0.0
training,42,0.0078125,0.0
training,43,0.0078125,0.0
training,44,0.0078125,0.0
training,45,0.0078125,0.0
training,46,0.0078125,0.0
training,47,0.0078125,0.0
training,48,0.0078125,0.0
training,49,0.0078125,0.0
training,50,0.0078125,0.0
training,51,0.0078125,0.0
training,52,0.0078125,0.0
training,53,0.0078125,0.0
training,54,0.0078125,0.0
training,55,0.0078125,0.0
training,56,0.0078125,0.0
training,57,0.0078125,0.0
training,58,0.0078125,0.0
training,59,0.0078125,0.0
training,60,0.0078125,0.0
training,61,0.0078125,0.0
training,62,0.0078125,0.0
training,63,0.0078125,0.0
training,64,0.0078125,0.0
training,65,0.0078125,0.0
training,66,0.0078125,0.0
training,67,0.0078125,0.0
training,68,0.0078125,0.0
training,69,0.0078125,0.0
training,70,0.0078125,0.0
training,71,0.0078125,0.0
training,72,0.0078125,0.0
training,73,0.0078125,0.0
training,74,0.0078125,0.0
training,75,0.0078125,0.0
training,76,0.0078125,0.0
training,77,0.0078125,0.0
training,78,0.0078125,0.0
training,79,0.0078125,0.0
training,80,0.0078125,0.0
training,81,0.0078125,0.0
training,82,0.0078125,0.0
training,83,0.0078125,0.0
training,84,0.0078125,0.0
training,85,0.0078125,0.0
training,86,0.0078125,0.0
training,87,0.0078125,0.0
training,88,0.0078125,0.0
training,89,0.0078125,0.0
training,90,0.0078125,0.0
training,91,0.0078125,0.0
training,92,0.0078125,0.0
training,93,0.0078125,0.0
training,94,0.0078125,0.0
training,95,0.0078125,0.0
training,96,0.0078125,0.0
training,97,0.0078125,0.0
training,98,0.0078125,0.0
training,99,0.0078125,0.0
training,100,0.0078125,0.0
training,101,0.0078125,0.0
training,102,0.0078125,0.0
training,103,0.0078125,0.0
training,104,0.0078125,0.0
training,105,0.0078125,0.0
training,106,0.0078125,0.0
training,107,0.0078125,0.0
training,108,0.0078125,0.0
training,109,0.0078125,0.0
training,110,0.0078125,0.0
training,111,0.0078125,0.0
training,112,0.0078125,0.0
training,113,0.0078125,0.0
training,114,0.0078125,0.0
training,115,0.0078125,0.0
training,116,0.0078125,0.0
training,117,0.0078125,0.0
training,118,0.0078125,0.0
training,119,0.0078125,0.0
training,120,0.0078125,0.0
training,121,0.0078125,0.0
training,122,0.0078125,0.0
training,123,0.0078125,0.0
training,124,0.0078125,0.0
training,125,0.0078125,0.0
training,126,0.0078125,0.0
training,127,0.0078125,0.0
independent_holdout,0,0.00390625,0.0
independent_holdout,1,0.00390625,0.0
independent_holdout,2,0.00390625,0.0
independent_holdout,3,0.00390625,0.0
independent_holdout,4,0.00390625,0.0
independent_holdout,5,0.00390625,0.0
independent_holdout,6,0.00390625,0.0
independent_holdout,7,0.00390625,0.0
independent_holdout,8,0.00390625,0.0
independent_holdout,9,0.00390625,0.0
independent_holdout,10,0.00390625,0.0
independent_holdout,11,0.00390625,0.0
independent_holdout,12,0.00390625,0.0
independent_holdout,13,0.00390625,0.0
independent_holdout,14,0.00390625,0.0
independent_holdout,15,0.00390625,0.0
independent_holdout,16,0.00390625,0.0
independent_holdout,17,0.00390625,0.0
independent_holdout,18,0.00390625,0.0
independent_holdout,19,0.00390625,0.0
independent_holdout,20,0.00390625,0.0
independent_holdout,21,0.00390625,0.0
independent_holdout,22,0.00390625,0.0
independent_holdout,23,0.00390625,0.0
independent_holdout,24,0.00390625,0.0
