samples,eens_kwh,cvar_kwh,positive_scenarios
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,6.343055555555556,50.74444444444445,1
9,5.6382716049382715,50.74444444444445,1
10,5.0744444444444445,50.74444444444445,1
11,4.613131313131313,50.74444444444445,1
12,4.228703703703704,50.74444444444445,1
13,3.9034188034188038,50.74444444444445,1
14,3.6246031746031746,50.74444444444445,1
15,3.382962962962963,50.744444444444454,1
16,3.171527777777778,50.74444444444445,1
17,2.984967320261438,50.74444444444445,1
18,2.8191358024691358,50.74444444444445,1
19,2.670760233918129,50.74444444444445,1
20,2.5372222222222223,50.744444444444404,1
21,2.4164021164021166,48.32804232804229,1
22,2.3065656565656565,46.13131313131309,1
23,2.206280193236715,44.12560386473426,1
24,2.114351851851852,42.287037037037,1
25,2.029777777777778,40.59555555555552,1
26,1.9517094017094019,39.034188034188,1
27,1.8794238683127573,37.58847736625511,1
28,1.8123015873015873,36.24603174603172,1
29,1.749808429118774,34.99616858237545,1
30,1.6914814814814816,33.8296296296296,1
31,1.6369175627240145,32.73835125448026,1
32,1.585763888888889,31.71527777777775,1
33,1.5377104377104378,30.75420875420873,1
34,1.492483660130719,29.849673202614355,1
35,1.44984126984127,28.996825396825372,1
36,1.4095679012345679,28.191358024691336,1
37,1.3714714714714715,27.429429429429405,1
38,1.3353801169590644,26.707602339181264,1
39,1.3011396011396013,26.022792022792,1
40,1.2686111111111111,25.372222222222202,1
41,1.237669376693767,24.75338753387532,1
42,1.2082010582010583,24.164021164021143,1
43,1.1801033591731267,23.60206718346251,1
44,1.1532828282828282,23.065656565656546,1
45,1.1276543209876544,22.55308641975307,1
46,1.1031400966183575,22.06280193236713,1
47,1.0796690307328605,21.59338061465719,1
48,1.057175925925926,21.1435185185185,1
49,1.0356009070294785,20.712018140589553,1
50,1.014888888888889,20.29777777777776,1
51,0.9949891067538127,19.899782135076233,1
52,0.9758547008547009,19.517094017094,1
53,0.9574423480083858,19.1488469601677,1
54,0.9397119341563787,18.794238683127556,1
55,0.9226262626262627,18.452525252525234,1
56,0.9061507936507937,18.12301587301586,1
57,0.890253411306043,17.805068226120845,1
58,0.874904214559387,17.498084291187723,1
59,0.8600753295668551,17.201506591337083,1
60,0.8457407407407408,16.9148148148148,1
61,0.8318761384335155,16.637522768670298,1
62,0.8184587813620072,16.36917562724013,1
63,0.8054673721340389,16.10934744268076,1
64,0.7928819444444445,15.857638888888875,1
65,0.7806837606837608,15.6136752136752,1
66,0.7688552188552189,15.377104377104365,1
67,0.757379767827529,15.147595356550568,1
68,0.7462418300653595,14.924836601307177,1
69,0.735426731078905,14.708534621578089,1
70,0.724920634920635,14.498412698412686,1
71,0.7147104851330204,14.294209702660394,1
72,0.7047839506172839,14.095679012345668,1
73,0.6951293759512938,13.902587519025865,1
74,0.6857357357357358,13.714714714714702,1
75,0.6765925925925926,13.53185185185184,1
76,0.6676900584795322,13.353801169590632,1
77,0.6590187590187591,13.18037518037517,1
78,0.6505698005698006,13.011396011396,1
79,0.6423347398030943,12.846694796061874,1
80,0.6343055555555556,12.686111111111101,1
81,0.6264746227709191,12.52949245541837,1
82,0.6188346883468835,12.37669376693766,1
83,0.6113788487282463,12.227576974564915,1
84,0.6041005291005291,12.082010582010572,1
85,0.5969934640522876,11.939869281045743,1
86,0.5900516795865633,11.801033591731255,1
87,0.5832694763729247,11.665389527458483,1
88,0.5766414141414141,11.532828282828273,1
89,0.5701622971285893,11.403245942571777,1
90,0.5638271604938272,11.276543209876534,1
91,0.5576312576312576,11.152625152625143,1
92,0.5515700483091788,11.031400966183565,1
93,0.5456391875746714,10.91278375149342,1
94,0.5398345153664302,10.796690307328594,1
95,0.5341520467836257,10.683040935672505,1
96,0.528587962962963,10.57175925925925,1
97,0.5231386025200458,10.462772050400908,1
98,0.5178004535147392,10.356009070294776,1
99,0.5125701459034793,10.251402918069576,1
100,0.5074444444444445,10.14888888888888,1
101,0.5024202420242024,10.048404840484041,1
102,0.49749455337690635,9.949891067538116,1
103,0.49266450916936355,9.853290183387262,1
104,0.48792735042735047,9.758547008547,1
105,0.4832804232804233,9.665608465608457,1
106,1.5613155136268344,31.22631027253666,2
107,1.546723779854621,30.93447559709239,2
108,1.5324022633744856,30.64804526748968,2
109,1.5183435270132517,30.36687054026501,2
110,1.504540404040404,30.09080808080805,2
111,1.490985985985986,29.81971971971969,2
112,1.477673611111111,29.553472222222194,2
113,1.4645968534906588,29.291937069813148,2
114,1.4517495126705653,29.03499025341128,2
115,1.4391256038647342,28.78251207729466,2
116,1.4267193486590037,28.534386973180048,2
117,1.4145251661918328,28.29050332383663,2
118,1.4025376647834273,28.05075329566852,2
119,1.3907516339869281,27.815032679738536,2
120,1.379162037037037,27.583240740740713,2
121,1.3677640036730945,27.355280073461866,2
122,1.3565528233151183,27.131056466302343,2
123,1.345523938572719,26.910478771454354,2
124,1.3346729390681003,26.693458781361983,2
125,1.3239955555555556,26.479911111111086,2
126,1.3134876543209877,26.269753086419726,2
127,1.3031452318460193,26.062904636920358,2
128,1.2929644097222222,25.85928819444442,2
129,1.2829414298018949,25.658828596037875,2
130,1.2730726495726494,25.46145299145297,2
131,1.2633545377438506,25.26709075487699,2
132,1.25378367003367,25.075673400673377,2
133,1.2443567251461987,24.887134502923953,2
134,1.2350704809286899,24.701409618573773,2
135,1.2259218106995884,24.518436213991745,2
136,1.216907679738562,24.338153594771217,2
137,1.2080251419302515,24.160502838605005,2
138,1.1992713365539451,23.985426731078885,2
139,1.1906434852118304,23.812869704236586,2
140,1.1821388888888889,23.642777777777756,2
141,1.1737549251379038,23.475098502758055,2
142,1.1654890453834115,23.30978090766821,2
143,1.1573387723387722,23.146775446775425,2
144,1.149301697530864,22.986033950617262,2
145,1.141375478927203,22.827509578544042,2
146,1.1335578386605782,22.671156773211546,2
147,1.1258465608465609,22.516931216931194,2
148,1.1182394894894894,22.364789789789768,2
149,1.1107345264727815,22.21469052945561,2
150,1.1033296296296295,22.06659259259257,2
151,1.0960228108903605,21.92045621780719,2
152,1.088812134502924,21.77624269005846,2
153,1.0816957153231663,21.633914306463307,2
154,1.074671717171717,21.493434343434323,2
155,1.0677383512544802,21.354767025089586,2
156,1.0608938746438745,21.217877492877474,2
157,1.0541365888181173,21.08273177636233,2
158,1.0474648382559775,20.94929676511953,2
159,1.0408770090845563,20.817540181691104,2
160,1.0343715277777776,20.687430555555537,2
161,1.0279468599033816,20.55893719806761,2
162,1.0216015089163237,20.432030178326457,2
163,1.0153340149965917,20.306680299931813,2
164,1.0091429539295393,20.18285907859077,2
165,1.003026936026936,20.060538720538702,2
166,0.9969846050870147,19.939692101740274,2
167,0.9910146373918829,19.82029274783764,2
168,0.9851157407407407,19.702314814814795,2
169,0.9792866535174227,19.585733070348436,2
170,0.9735261437908497,19.470522875816975,2
171,0.9678330084470435,19.356660168940852,2
172,0.9622060723514211,19.244121447028405,2
173,0.9566441875401412,19.132883750802808,2
174,0.9511462324393358,19.0229246487867,2
175,0.9457111111111111,18.914222222222207,2
176,0.9403377525252524,18.806755050505032,2
177,0.9350251098556183,18.700502197112346,2
178,0.9297721598002496,18.59544319600498,2
179,0.9245779019242706,18.491558038485394,2
180,0.9194413580246913,18.38882716049381,2
181,0.9143615715162676,18.287231430325335,2
182,0.9093376068376068,18.18675213675212,2
183,13.676053431390407,273.52106862780795,3
184,13.601727054045895,272.0345410809177,3
185,13.528204205105107,270.56408410210184,3
186,13.455471924432498,269.10943848864974,3
187,13.383517529114677,267.6703505822933,3
188,13.31232860608747,266.2465721217492,3
189,13.241893004997062,264.837860099941,3
190,13.17219883128655,263.4439766257308,3
191,13.10323443949971,262.06468878999397,3
192,13.034988426793982,260.6997685358794,3
193,12.967449626655153,259.34899253310283,3
194,12.900607102806415,258.0121420561281,3
195,12.834450143304844,256.68900286609664,3
196,12.768968254818596,255.37936509637169,3
197,12.7041511570784,254.08302314156776,3
198,12.639988777497194,252.79977554994366,3
199,12.576471245951982,251.52942491903946,3
200,12.513588889722223,250.27177779444423,3
201,12.451332228579327,249.0266445715863,3
202,12.389691970022003,247.79383940043985,3
203,12.328659004652437,246.5731800930485,3
204,12.268224401688453,245.36448803376885,3
205,12.208379404607047,244.16758809214073,3
206,12.14911542691478,242.98230853829537,3
207,12.090424048040795,241.8084809608157,3
208,12.03229700934829,240.64594018696562,3
209,11.974726210260501,239.49452420520979,3
210,11.917703704497356,238.3540740899469,3
211,11.861221696419168,237.22443392838315,3
212,11.805272537473796,236.10545074947572,3
213,11.749848722743872,234.99697445487723,3
214,11.694942887590862,233.89885775181705,3
215,11.640547804392765,232.81095608785512,3
216,11.586656379372428,231.73312758744837,3
217,11.53326164951357,230.66523299027116,3
218,11.480356779561673,229.60713559123326,3
219,11.427935059107053,228.55870118214085,3
220,11.375989899747475,227.5197979949493,3
221,11.324514832327804,226.4902966465559,3
222,11.273503504254254,225.4700700850849,3
223,11.222949676880917,224.45899353761817,3
224,11.17284722296627,223.4569444593252,3
225,11.123190124197532,222.46380248395042,3
226,11.073972468780727,221.47944937561437,3
227,11.02518844909447,220.50376898188918,3
228,10.976832359405458,219.536647188109,3
229,10.928898593643863,218.57797187287707,3
230,10.881381643236717,217.62763286473412,3
231,10.834276094997596,216.68552189995174,3
232,10.787576629070882,215.75153258141745,3
233,10.741278016928947,214.82556033857873,3
234,10.695375119420703,213.9075023884139,3
235,10.649862884869977,212.99725769739933,3
236,10.604736347222223,212.09472694444426,3
237,10.559990624238162,211.19981248476307,3
238,10.51562091573296,210.31241831465903,3
239,10.471622501859601,209.43245003719184,3
240,10.427990741435186,208.55981482870354,3
241,10.384721070308899,207.69442140617778,3
242,10.341808999770432,206.83617999540846,3
243,10.299250114997715,205.9850022999541,3
244,10.257040073542806,205.14080147085596,3
245,10.215174603854877,204.30349207709733,3
246,10.173649503839206,203.47299007678393,3
247,10.132460639451192,202.6492127890237,3
248,10.091603943324374,201.83207886648728,3
249,10.051075413431505,201.0215082686299,3
250,10.010871111777778,200.2174222355554,3
251,9.970987163125278,199.41974326250536,3
252,9.931419753747797,198.62839507495573,3
253,9.892165130215195,197.84330260430374,3
254,9.853219598206476,197.06439196412933,3
255,9.814579521350764,196.2915904270151,3
256,9.776241320095487,195.52482640190956,3
257,9.738201470600952,194.76402941201886,3
258,9.700456503660638,194.0091300732126,3
259,9.663003003646505,193.26006007292992,3
260,9.625837607478633,192.5167521495725,3
261,9.588957003618562,191.77914007237106,3
262,9.552357931085666,191.04715862171315,3
263,9.516037178495987,190.32074356991959,3
264,9.479991583122896,189.59983166245775,3
265,9.444218029979035,188.88436059958056,3
266,9.408713450918965,188.17426901837914,3
267,9.373474823761965,187.46949647523914,3
268,9.338499171434496,186.76998342868973,3
269,9.303783561131764,186.07567122263512,3
270,9.269325103497943,185.38650206995868,3
271,9.235120951824518,184.70241903649023,3
272,9.20116830126634,184.02336602532665,3
273,9.167464388074889,183.3492877614976,3
274,9.134006488848337,182.6801297769666,3
275,9.100791919797981,182.01583839595943,3
276,9.067818036030596,181.35636072061178,3
277,9.03508223084637,180.70164461692724,3
278,9.002581935051959,180.05163870103902,3
279,8.970314616288332,179.4062923257665,3
280,8.938277778373017,178.76555556746018,3
281,8.906468960656387,178.12937921312755,3
282,8.874885737391647,177.4977147478328,3
283,8.84352571711818,176.8705143423634,3
284,8.812386542057904,176.2477308411579,3
285,8.781465887524368,175.6293177504872,3
286,8.750761461344212,175.0152292268841,3
287,8.720271003290748,174.4054200658148,3
288,8.689992284529321,173.79984569058627,3
289,8.659923107074203,173.1984621414839,3
290,8.630061303256706,172.60122606513397,3
291,8.600404735204277,172.00809470408538,3
292,8.570951294330289,171.41902588660565,3
293,8.541698900834282,170.83397801668548,3
294,8.512645503212397,170.25291006424777,3
295,8.483789077777779,169.67578155555543,3
296,8.455127628190692,169.10255256381367,3
297,8.42665918499813,168.53318369996245,3
298,8.3983818051827,167.96763610365386,3
299,8.37029357172055,167.40587143441087,3
300,8.34239259314815,166.8478518629628,3
301,8.314677003137689,166.29354006275364,3
302,8.287144960080942,165.74289920161868,3
303,8.259794646681335,165.19589293362657,3
304,8.232624269554094,164.65248539108174,3
305,8.205632058834244,164.11264117668475,3
306,8.178816267792303,163.5763253558459,3
307,8.152175172457474,163.04350344914934,3
308,8.125707071248197,162.5141414249638,3
309,8.099410284609853,161.9882056921969,3
310,8.0732831546595,161.46566309318982,3
311,8.047324044837442,160.9464808967487,3
312,8.021531339565527,160.4306267913104,3
313,7.995903443911963,159.91806887823913,3
314,7.970438783262562,159.4087756652511,3
315,7.945135802998236,158.9027160599646,3
316,7.919992968178622,158.3998593635723,3
317,7.8950087632316865,157.9001752646336,3
318,7.870181691649197,157.4036338329838,3
319,7.845510275687914,156.91020551375814,3
320,7.820993056076389,156.41986112152765,3
321,7.7966285917272415,155.9325718345447,3
322,7.7724154594547965,155.4483091890958,3
323,7.748352253697971,154.9670450739593,3
324,7.7244375862482855,154.4887517249656,3
325,7.700670085982907,154.013401719658,3
326,7.677048398602591,153.54096797205167,3
327,10.733972507475366,214.67945014950712,4
328,10.701246981537942,214.02493963075867,4
329,10.668720394967917,213.37440789935818,4
330,10.63639093922559,212.7278187845116,4
331,10.60425682762672,212.08513655253424,4
332,10.572316295013387,211.44632590026754,4
333,10.540567597430766,210.81135194861508,4
334,10.509009011809715,210.18018023619413,4
335,10.477638835655059,209.552776713101,4
336,10.44645538673942,208.92910773478818,4
337,10.415457002802507,208.30914005604993,4
338,10.384642041255754,207.69284082511487,4
339,10.354008878892166,207.0801775778432,4
340,10.323555911601307,206.471118232026,4
341,10.29328155408928,205.86563108178544,4
342,10.263184239603639,205.2636847920726,4
343,10.233262419663104,204.6652483932619,4
344,10.203514563791991,204.0702912758396,4
345,10.173939159259259,203.47878318518502,4
346,10.144534710822095,202.89069421644172,4
347,10.115299740473905,202.3059948094779,4
348,10.08623278719668,201.7246557439334,4
349,10.057332406717606,201.14664813435192,4
350,10.028597171269842,200.57194342539668,4
351,10.000025669357392,200.00051338714766,4
352,9.97161650552399,199.43233011047963,4
353,9.943368300125906,198.8673660025179,4
354,9.915279689108601,198.30559378217183,4
355,9.887349323787168,197.7469864757432,4
356,9.859575870630463,197.19151741260907,4
357,9.831958011048865,196.63916022097712,4
358,9.8044944411856,196.08988882371182,4
359,9.777183871711545,195.54367743423072,4
360,9.750025027623458,195.000500552469,4
361,9.723016648045553,194.4603329609109,4
