samples,EENS_kwh,CVaR95_kwh
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,72.89458333333334,583.1566666666668
9,64.79518518518519,583.1566666666668
10,58.31566666666667,583.1566666666668
11,53.01424242424243,583.1566666666668
12,48.596388888888896,583.1566666666668
13,44.858205128205135,583.1566666666668
14,41.654047619047624,583.1566666666668
15,38.87711111111112,583.1566666666668
16,36.44729166666667,583.1566666666668
17,34.30333333333334,583.1566666666668
18,32.397592592592595,583.1566666666668
19,30.69245614035088,583.1566666666668
20,29.157833333333336,583.1566666666668
21,27.769365079365084,555.3873015873016
22,26.507121212121216,530.1424242424242
23,25.354637681159424,507.0927536231884
24,24.298194444444448,485.9638888888889
25,23.32626666666667,466.5253333333334
26,22.429102564102568,448.58205128205134
27,21.598395061728397,431.96790123456793
28,20.827023809523812,416.5404761904762
29,20.108850574712648,402.1770114942529
30,19.43855555555556,388.77111111111117
31,18.81150537634409,376.23010752688174
32,18.223645833333336,364.4729166666667
33,17.671414141414143,353.4282828282829
34,17.15166666666667,343.03333333333336
35,16.66161904761905,333.232380952381
36,16.198796296296297,323.975925925926
37,15.760990990990994,315.21981981981986
38,15.34622807017544,306.9245614035088
39,14.952735042735045,299.05470085470085
40,14.578916666666668,291.5783333333334
41,14.223333333333336,284.4666666666667
42,13.884682539682542,277.6936507936508
43,13.561782945736436,271.23565891472873
44,13.253560606060608,265.0712121212121
45,12.959037037037039,259.18074074074076
46,12.677318840579712,253.5463768115942
47,12.407588652482271,248.1517730496454
48,12.149097222222224,242.98194444444445
49,11.901156462585035,238.0231292517007
50,11.663133333333334,233.2626666666667
51,11.434444444444447,228.6888888888889
52,11.214551282051284,224.29102564102567
53,11.002955974842768,220.05911949685535
54,10.799197530864198,215.98395061728397
55,10.602848484848487,212.05696969696973
56,10.413511904761906,208.2702380952381
57,10.230818713450294,204.61637426900586
58,10.054425287356324,201.08850574712645
59,9.884011299435029,197.68022598870058
60,9.71927777777778,194.38555555555558
61,9.559945355191259,191.19890710382515
